MGI:101757	Cfl1
MGI:101759	Syt4
MGI:101760	Sfswap
MGI:101761	Hmga2
MGI:101762	Elk3
MGI:101763	Cfl2
MGI:101764	Cdk5r1
MGI:101765	Cdk5
MGI:101766	Ryk
MGI:101767	Nba1
MGI:101769	Mcl1
MGI:101770	Bfsp1
MGI:101771	Sntb2
MGI:101772	Snta1
MGI:101773	Cd86
MGI:101774	Cd79a
MGI:101775	Cd80
MGI:101776	Lhx4
MGI:101780	Serpine2
MGI:101782	Scnn1a
MGI:101783	Plk4
MGI:101784	Nes
MGI:101785	Mybl2
MGI:101786	Mtf1
MGI:101789	Lig1
MGI:101790	Fabp5
MGI:101791	Isl1
MGI:101800	Dppa5a
MGI:101802	F2r
MGI:101804	Tlag1
MGI:101805	Gys1
MGI:101815	Fmn1
MGI:101816	Msh2
MGI:101833	Elk1
MGI:101834	Tubg1
MGI:101835	Traf2
MGI:101836	Traf1
MGI:101838	Tbp
MGI:101841	Ppm1b
MGI:101842	Pla2g1b
MGI:101845	Mcm3
MGI:101848	Gnb5
MGI:101863	Aldoc
MGI:101864	Dag1
MGI:101865	Srms
MGI:101875	Thpo
MGI:101876	Tead1
MGI:101877	Tcf12
MGI:101884	Ppard
MGI:101893	Pou5f1
MGI:101894	Pou3f4
MGI:101895	Pou3f2
MGI:101896	Pou3f1
MGI:101897	Pou2f2
MGI:101898	Pou2f1
MGI:101899	Pla2g5
MGI:101900	Mmp14
MGI:101908	Gpr3
MGI:101909	Gpr12
MGI:101910	F2rl1
MGI:101911	Dusp2
MGI:101912	Dad1
MGI:101914	Calb2
MGI:101916	Fabp7
MGI:101918	Akr1b7
MGI:101919	Ap1g1
MGI:101920	Ap2a2
MGI:101922	Tnc
MGI:101924	Slc12a2
MGI:101926	Dlx5
MGI:101927	Dlx6
MGI:101931	Slc1a2
MGI:101932	Cpe
MGI:101934	Tfdp1
MGI:101937	Pkib
MGI:101938	Mlh1
MGI:101940	Arhgdib
MGI:101941	E2f1
MGI:101946	Car5a
MGI:101947	Hnrnpd
MGI:101948	Wnt11
MGI:101949	Rad52
MGI:101950	Calcr
MGI:102462	Slc9a1
MGI:102463	Nfatc2
MGI:102467	Ptpn14
MGI:102468	Pla2r1
MGI:102469	Nfatc1
MGI:102476	mt-Tr
MGI:102483	mt-Tk
MGI:102492	mt-Rnr2
MGI:102495	mt-Nd6
MGI:102500	mt-Nd2
MGI:102504	mt-Co1
MGI:102518	Adam3
MGI:102519	Cst3
MGI:102520	Phb2
MGI:102522	Cacnb1
MGI:102523	Pou4f3
MGI:102524	Pou4f2
MGI:102525	Pou4f1
MGI:102537	Nat3
MGI:102539	Tbx6
MGI:102541	Tbx5
MGI:102548	Tsc2
MGI:102551	Ccnf
MGI:102553	Crisp1
MGI:102555	Ccs1
MGI:102556	Tbx4
MGI:102563	Dct
MGI:102564	Pou3f3
MGI:102565	Pou2f3
MGI:102567	Nrl
MGI:102570	Ndp
MGI:102579	Nmt1
MGI:102581	Rdh11
MGI:102634	Tg(AMY1C)9257Mm
MGI:102643	Myh11
MGI:102663	Kcnd2
MGI:102666	Ppp5c
MGI:102670	Ddx4
MGI:102672	Runx3
MGI:102673	Lhx3
MGI:102674	Umod
MGI:102675	Crym
MGI:102676	Abcc1
MGI:102682	Llgl1
MGI:102687	Bcl2a1a
MGI:102688	H2afx
MGI:102694	Ptprm
MGI:102695	Ptprf
MGI:102696	Pip
MGI:102700	Itga7
MGI:102701	Lilrb4a
MGI:102704	Gng3
MGI:102706	Fdft1
MGI:102707	Efna2
MGI:102708	Efnb1
MGI:102709	Cav1
MGI:102718	Vav2
MGI:102720	Ednrb
MGI:102722	Pcnt
MGI:102724	Tpp2
MGI:102726	Dck
MGI:102738	Guca2a
MGI:102749	Trim25
MGI:102755	Zbtb7b
MGI:102760	Star
MGI:102764	Six3
MGI:102765	Ptprn
MGI:102768	Mfge8
MGI:102770	Guca1a
MGI:102772	Gbp2
MGI:102774	Aimp1
MGI:102776	Ap1m1
MGI:102778	Six2
MGI:102779	Fen1
MGI:102780	Six1
MGI:102788	Rph3a
MGI:102790	Rab18
MGI:102791	Prph2
MGI:102793	Fstl1
MGI:102794	Akap4
MGI:102795	Fgl1
MGI:102797	Acsl1
MGI:102805	Entpd1
MGI:102806	Acvr2a
MGI:102810	Lmo3
MGI:102811	Lmo2
MGI:102812	Lmo1
MGI:102844	Mybpc3
MGI:102845	Bdkrb2
MGI:102848	Serpina3c
MGI:102849	Klkb1
MGI:102851	Pdx1
MGI:102853	Elk4
MGI:102858	Fosl2
MGI:102889	Vcan
MGI:102890	Ccng1
MGI:102891	Adcy7
MGI:102896	Sult1a1
MGI:102897	Pcsk6
MGI:102934	Scx
MGI:102944	Ube2b
MGI:102949	Foxn1
MGI:102952	Dgka
MGI:102956	Cdk7
MGI:102959	Ube2a
MGI:102960	Txk
MGI:102965	Scn7a
MGI:102966	Ptgdr
MGI:102967	Mtnr1a
MGI:102968	Klra8
MGI:102969	Gcsam
MGI:103006	Epb4.1l5
MGI:103007	Epb4.1l4a
MGI:103008	Epb4.1l3
MGI:103009	Epb4.1l2
MGI:103010	Epb4.1l1
MGI:103011	Ccr7
MGI:103012	E2f4
MGI:103013	Cacna1c
MGI:103014	Il15
MGI:103017	Fcgrt
MGI:103020	Syn2
MGI:103021	Recql
MGI:103022	Reln
MGI:103024	Whl
MGI:103025	Mtx1
MGI:103027	Tarbp2
MGI:103034	Stat6
MGI:103035	Stat5b
MGI:103036	Stat5a
