DECIPHER:1	Wolf-Hirschhorn Syndrome
DECIPHER:14	Prader-Willi Syndrome (Type 1)
DECIPHER:15	Nf1-Microdeletion Syndrome
DECIPHER:16	22q11 Deletion Syndrome (Velocardiofacial / Digeorge Syndrome)
DECIPHER:17	Sotos Syndrome
DECIPHER:18	1p36 Microdeletion Syndrome
DECIPHER:19	Potocki-Lupski Syndrome (17p11.2 Duplication Syndrome)
DECIPHER:2	Cri Du Chat Syndrome (5p Deletion)
DECIPHER:20	22q13 Deletion Syndrome (Phelan-Mcdermid Syndrome)
DECIPHER:21	Miller-Dieker Syndrome (Mds)
DECIPHER:29	Charcot-Marie-Tooth Syndrome Type 1a (Cmt1a)
DECIPHER:3	Williams-Beuren Syndrome (Wbs)
DECIPHER:31	Hereditary Liability To Pressure Palsies (Hnpp)
DECIPHER:32	22q11 Duplication Syndrome
DECIPHER:34	Potocki-Shaffer Syndrome
DECIPHER:35	Wagr 11p13 Deletion Syndrome
DECIPHER:37	3q29 Microdeletion Syndrome
DECIPHER:38	Pelizaeus-Merzbacher Disease
DECIPHER:39	8p23.1 Deletion Syndrome
DECIPHER:4	Angelman Syndrome (Type 1)
DECIPHER:42	Cat-Eye Syndrome (Type I)
DECIPHER:43	7q11.23 Duplication Syndrome
DECIPHER:44	2q37 Monosomy
DECIPHER:45	Xq28 (Mecp2) Duplication
DECIPHER:46	Split Hand/Foot Malformation 1 (Shfm1)
DECIPHER:47	Rcad (Renal Cysts And Diabetes)
DECIPHER:48	Early-Onset Alzheimer Disease With Cerebral Amyloid Angiopathy
DECIPHER:51	2q33.1 Deletion Syndrome
DECIPHER:52	9q Subtelomeric Deletion Syndrome
DECIPHER:53	Prader-Willi Syndrome (Type 2)
DECIPHER:54	Angelman Syndrome (Type 2)
DECIPHER:57	17q21.31 Recurrent Microdeletion Syndrome
DECIPHER:58	Leri-Weill Dyschondrostosis (Lwd) - Shox Deletion
DECIPHER:59	Adult-Onset Autosomal Dominant Leukodystrophy (Adld)
DECIPHER:62	1q21.1 Recurrent Microdeletion (Susceptibility Locus For Neurodevelopmental Disorders)
DECIPHER:65	Atr-16 Syndrome
DECIPHER:66	15q24 Recurrent Microdeletion Syndrome
DECIPHER:67	1q21.1 Recurrent Microduplication (Possible Susceptibility Locus For Neurodevelopmental Disorders)
DECIPHER:68	16p11.2-P12.2 Microdeletion Syndrome
DECIPHER:70	2p15-16.1 Microdeletion Syndrome
DECIPHER:72	22q11.2 Distal Deletion Syndrome
DECIPHER:74	15q13.3 Microdeletion Syndrome
DECIPHER:76	12q14 Microdeletion Syndrome
DECIPHER:8	Smith-Magenis Syndrome
DECIPHER:81	15q26 Overgrowth Syndrome
DECIPHER:85	8p23.1 Duplication Syndrome
DECIPHER:92	Recurrent 16p12.1 Microdeletion (Neurodevelopmental Susceptibility Locus)
OMIM:100050	Aarskog Syndrome, Autosomal Dominant
OMIM:100070	Aortic Aneurysm, Familial Abdominal, 1
OMIM:100100	Abdominal Muscles, Absence Of, With Urinary Tract Abnormality and Cryptorchidism
OMIM:100200	Abducens Palsy
OMIM:100300	Aplasia Cutis Congenita, Congenital Heart Defect, And Frontonasal Cysts
OMIM:100600	Acanthosis Nigricans
OMIM:100650	Aldehyde Dehydrogenase 2 Family
OMIM:100700	Achard syndrome
OMIM:100800	Achondroplasia
OMIM:100820	Autosomal dominant compelling helio ophthalmic outburst syndrome
OMIM:101000	Neurofibromatosis, Type 2
OMIM:101120	Acrocephalopolysyndactyly Type 3
OMIM:101200	Apert Syndrome
OMIM:101400	Saethre-Chotzen Syndrome
OMIM:101600	Pfeiffer Syndrome
